week_start,postings_count,avg_salary
2022-01-03,28,
2022-01-10,32,
2022-01-17,30,
2022-01-24,35,
2022-01-31,33,
2022-02-07,38,
2022-02-14,36,
2022-02-21,41,
2022-02-28,39,
2022-03-07,44,
2022-03-14,42,
2022-03-21,47,
2022-03-28,45,
2022-04-04,50,
2022-04-11,48,
2022-04-18,53,
2022-04-25,51,
2022-05-02,56,
2022-05-09,54,
2022-05-16,59,
2022-05-23,57,
2022-05-30,62,
2022-06-06,60,
2022-06-13,65,
2022-06-20,63,
2022-06-27,68,
2022-07-04,66,
2022-07-11,71,
2022-07-18,69,
2022-07-25,74,
2022-08-01,72,
2022-08-08,77,
2022-08-15,75,
2022-08-22,80,
2022-08-29,78,
2022-09-05,83,
2022-09-12,81,
2022-09-19,86,
2022-09-26,84,
2022-10-03,89,
2022-10-10,87,
2022-10-17,92,
2022-10-24,90,
2022-10-31,95,
2022-11-07,93,
2022-11-14,98,
2022-11-21,96,
2022-11-28,101,
2022-12-05,99,
2022-12-12,104,
2022-12-19,102,
2022-12-26,107,
2023-01-02,105,
2023-01-09,110,
2023-01-16,108,
2023-01-23,113,
2023-01-30,111,
2023-02-06,116,
2023-02-13,114,
2023-02-20,119,
2023-02-27,117,
2023-03-06,122,
2023-03-13,120,
2023-03-20,125,
2023-03-27,123,
2023-04-03,128,
2023-04-10,126,
2023-04-17,131,
2023-04-24,129,
2023-05-01,134,
2023-05-08,132,
2023-05-15,137,
2023-05-22,135,
2023-05-29,140,
2023-06-05,138,
2023-06-12,143,
2023-06-19,141,
2023-06-26,146,
2023-07-03,144,
2023-07-10,149,
2023-07-17,147,
2023-07-24,152,
2023-07-31,150,
2023-08-07,155,
2023-08-14,153,
2023-08-21,158,
2023-08-28,156,
2023-09-04,161,
2023-09-11,159,
2023-09-18,164,
2023-09-25,162,
2023-10-02,167,
2023-10-09,165,
2023-10-16,170,
2023-10-23,168,
2023-10-30,173,
2023-11-06,171,
2023-11-13,176,
2023-11-20,174,
2023-11-27,179,
2023-12-04,177,
2023-12-11,182,
2023-12-18,180,
2023-12-25,185,
2024-01-01,183,
2024-01-08,188,
2024-01-15,186,
2024-01-22,191,
2024-01-29,189,
2024-02-05,194,
2024-02-12,192,
2024-02-19,197,
2024-02-26,195,
2024-03-04,200,
2024-03-11,198,
2024-03-18,203,
2024-03-25,201,
2024-04-01,206,
2024-04-08,204,
2024-04-15,209,
2024-04-22,207,
2024-04-29,212,
2024-05-06,210,
2024-05-13,215,
2024-05-20,213,
2024-05-27,218,
2024-06-03,216,
2024-06-10,221,
2024-06-17,219,
2024-06-24,224,
2024-07-01,222,
2024-07-08,227,
2024-07-15,225,
2024-07-22,230,
2024-07-29,228,
2024-08-05,233,
2024-08-12,231,
2024-08-19,236,
2024-08-26,234,
2024-09-02,239,
2024-09-09,237,
2024-09-16,242,
2024-09-23,240,
2024-09-30,245,
2024-10-07,243,
2024-10-14,248,
2024-10-21,246,
2024-10-28,251,
2024-11-04,249,
2024-11-11,254,
2024-11-18,252,
2024-11-25,257,
2024-12-02,255,
2024-12-09,260,
2024-12-16,258,
2024-12-23,263,
2024-12-30,261
