week_start,postings_count,avg_salary
2022-01-03,45,
2022-01-10,52,
2022-01-17,48,
2022-01-24,55,
2022-01-31,51,
2022-02-07,58,
2022-02-14,54,
2022-02-21,61,
2022-02-28,57,
2022-03-07,64,
2022-03-14,60,
2022-03-21,67,
2022-03-28,63,
2022-04-04,70,
2022-04-11,66,
2022-04-18,73,
2022-04-25,69,
2022-05-02,76,
2022-05-09,72,
2022-05-16,79,
2022-05-23,75,
2022-05-30,82,
2022-06-06,78,
2022-06-13,85,
2022-06-20,81,
2022-06-27,88,
2022-07-04,84,
2022-07-11,91,
2022-07-18,87,
2022-07-25,94,
2022-08-01,90,
2022-08-08,97,
2022-08-15,93,
2022-08-22,100,
2022-08-29,96,
2022-09-05,103,
2022-09-12,99,
2022-09-19,106,
2022-09-26,102,
2022-10-03,109,
2022-10-10,105,
2022-10-17,112,
2022-10-24,108,
2022-10-31,115,
2022-11-07,111,
2022-11-14,118,
2022-11-21,114,
2022-11-28,121,
2022-12-05,117,
2022-12-12,124,
2022-12-19,120,
2022-12-26,127,
2023-01-02,123,
2023-01-09,130,
2023-01-16,126,
2023-01-23,133,
2023-01-30,129,
2023-02-06,136,
2023-02-13,132,
2023-02-20,139,
2023-02-27,135,
2023-03-06,142,
2023-03-13,138,
2023-03-20,145,
2023-03-27,141,
2023-04-03,148,
2023-04-10,144,
2023-04-17,151,
2023-04-24,147,
2023-05-01,154,
2023-05-08,150,
2023-05-15,157,
2023-05-22,153,
2023-05-29,160,
2023-06-05,156,
2023-06-12,163,
2023-06-19,159,
2023-06-26,166,
2023-07-03,162,
2023-07-10,169,
2023-07-17,165,
2023-07-24,172,
2023-07-31,168,
2023-08-07,175,
2023-08-14,171,
2023-08-21,178,
2023-08-28,174,
2023-09-04,181,
2023-09-11,177,
2023-09-18,184,
2023-09-25,180,
2023-10-02,187,
2023-10-09,183,
2023-10-16,190,
2023-10-23,186,
2023-10-30,193,
2023-11-06,189,
2023-11-13,196,
2023-11-20,192,
2023-11-27,199,
2023-12-04,195,
2023-12-11,202,
2023-12-18,198,
2023-12-25,205,
2024-01-01,201,
2024-01-08,208,
2024-01-15,204,
2024-01-22,211,
2024-01-29,207,
2024-02-05,214,
2024-02-12,210,
2024-02-19,217,
2024-02-26,213,
2024-03-04,220,
2024-03-11,216,
2024-03-18,223,
2024-03-25,219,
2024-04-01,226,
2024-04-08,222,
2024-04-15,229,
2024-04-22,225,
2024-04-29,232,
2024-05-06,228,
2024-05-13,235,
2024-05-20,231,
2024-05-27,238,
2024-06-03,234,
2024-06-10,241,
2024-06-17,237,
2024-06-24,244,
2024-07-01,240,
2024-07-08,247,
2024-07-15,243,
2024-07-22,250,
2024-07-29,246,
2024-08-05,253,
2024-08-12,249,
2024-08-19,256,
2024-08-26,252,
2024-09-02,259,
2024-09-09,255,
2024-09-16,262,
2024-09-23,258,
2024-09-30,265,
2024-10-07,261,
2024-10-14,268,
2024-10-21,264,
2024-10-28,271,
2024-11-04,267,
2024-11-11,274,
2024-11-18,270,
2024-11-25,277,
2024-12-02,273,
2024-12-09,280,
2024-12-16,276,
2024-12-23,283,
2024-12-30,279
